----------------------------------------------------------------------
My Process Log
Log file created at : Sun Jun  2 10:27:43 2024
----------------------------------------------------------------------
CONTENTS OF LOG FILE
----------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0} 
{'name': 'conhost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 18024} 
{'name': 'svchost.exe', 'username': None, 'pid': 18108} 
{'name': 'svchost.exe', 'username': None, 'pid': 18396} 
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 18444} 
{'name': 'StartMenuExperienceHost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 18452} 
{'name': 'cmd.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 18520} 
{'name': 'MfeAVSvc.exe', 'username': None, 'pid': 18528} 
{'name': 'aesm_service.exe', 'username': None, 'pid': 18536} 
{'name': 'svchost.exe', 'username': None, 'pid': 18680} 
{'name': 'cmd.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 18780} 
{'name': 'dasHost.exe', 'username': None, 'pid': 18896} 
{'name': 'chrome.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 18968} 
{'name': 'UserOOBEBroker.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 19156} 
{'name': 'SearchHost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 19208} 
{'name': 'svchost.exe', 'username': None, 'pid': 19212} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 19244} 
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 19560} 
{'name': 'svchost.exe', 'username': None, 'pid': 19592} 
{'name': 'svchost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 19752} 
{'name': 'Zoom.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 19952} 
{'name': 'conhost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 20344} 
{'name': 'HPSystemEventUtilityBackground.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 20360} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 20384} 
{'name': 'msedge.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 21160} 
{'name': 'svchost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 21484} 
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 21736} 
{'name': 'igfxEM.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 21756} 
{'name': 'RtkAudUService64.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 21860} 
{'name': 'WidgetService.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 22124} 
{'name': 'PhoneExperienceHost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 22344} 
{'name': 'Code.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 22408} 
{'name': 'chrome.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 22520} 
{'name': 'msedge.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 22660} 
{'name': 'taskhostw.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 22880} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 23060} 
{'name': 'SDXHelper.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 23212} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 23292} 
{'name': 'svchost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 23344} 
{'name': 'chrome.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 23668} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 23784} 
{'name': 'chrome.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 23796} 
{'name': 'audiodg.exe', 'username': None, 'pid': 23808} 
{'name': 'msedge.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 24008} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 24088} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 24092} 
{'name': 'svchost.exe', 'username': None, 'pid': 24136} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 24160} 
{'name': 'chrome.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 24164} 
{'name': 'chrome.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 24212} 
